Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2015-07-24,24,July,2015,19,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",3,1252,2295,1614,3756,5370
2014-02-07,7,February,2014,19,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
2016-02-07,7,February,2016,19,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
2013-07-24,24,July,2013,52,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,937,1898,2835
2015-07-24,24,July,2015,52,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2,1898,3375,1874,3796,5670
2013-05-11,11,May,2013,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2015-05-11,11,May,2015,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2013-11-02,2,November,2013,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2015-11-02,2,November,2015,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2013-11-24,24,November,2013,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2015-11-24,24,November,2015,51,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,774,1912,2686
2012-04-16,16,April,2012,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",2,1266,2320,1505,2532,4037
2011-04-16,16,April,2011,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",1,1266,2320,752,1266,2018
2013-03-20,20,March,2013,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2015-03-20,20,March,2015,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2014-01-16,16,January,2014,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2016-01-16,16,January,2016,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2014-02-07,7,February,2014,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2016-02-07,7,February,2016,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2014-06-04,4,June,2014,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2016-06-04,4,June,2016,50,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",3,1912,3400,3138,5736,8874
2014-02-12,12,February,2014,50,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,768,1898,2666
2016-02-12,12,February,2016,50,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,768,1898,2666
2014-03-13,13,March,2014,49,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,768,1898,2666
2016-03-13,13,March,2016,49,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2,1898,3375,1537,3796,5333
2013-07-24,24,July,2013,20,Youth (<25),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,1031,1266,2297
2015-07-24,24,July,2015,20,Youth (<25),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,2062,2532,4594
2014-03-04,4,March,2014,49,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,1038,1898,2936
2016-03-04,4,March,2016,49,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,1038,1898,2936
2014-03-23,23,March,2014,49,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2016-03-23,23,March,2016,49,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,1046,1912,2958
2013-07-18,18,July,2013,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2015-07-18,18,July,2015,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2013-07-25,25,July,2013,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2015-07-25,25,July,2015,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2013-12-04,4,December,2013,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2015-12-04,4,December,2015,20,Youth (<25),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,997,1252,2249
2014-05-07,7,May,2014,48,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,937,1898,2835
2016-05-07,7,May,2016,48,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,937,1898,2835
2014-05-22,22,May,2014,47,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2016-05-22,22,May,2016,47,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2013-09-17,17,September,2013,46,Adults (35-64),M,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,836,1898,2734
2015-09-17,17,September,2015,46,Adults (35-64),M,Australia,Tasmania,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,836,1898,2734
2013-07-11,11,July,2013,45,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",1,1912,3400,774,1912,2686
2015-07-11,11,July,2015,45,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",3,1912,3400,2322,5736,8058
2013-08-08,8,August,2013,45,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,937,1898,2835
2015-08-08,8,August,2015,45,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,937,1898,2835
2013-03-13,13,March,2013,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2015-03-13,13,March,2015,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2013-08-07,7,August,2013,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2015-08-07,7,August,2015,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2014-03-02,2,March,2014,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2016-03-02,2,March,2016,44,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",3,1898,3375,3115,5694,8809
2013-07-08,8,July,2013,43,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,876,1912,2788
2015-07-08,8,July,2015,43,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",1,1912,3400,876,1912,2788
2013-07-04,4,July,2013,43,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,937,1898,2835
2015-07-04,4,July,2015,43,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-100 Black, 38",1,1898,3375,937,1898,2835
2012-10-23,23,October,2012,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",2,1266,2320,1134,2532,3666
2011-10-23,23,October,2011,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",1,1266,2320,567,1266,1833
2013-02-25,25,February,2013,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2015-02-25,25,February,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2013-04-20,20,April,2013,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2015-04-20,20,April,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2013-07-13,13,July,2013,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2015-07-13,13,July,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",3,1912,3400,2322,5736,8058
2013-11-08,8,November,2013,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2015-11-08,8,November,2015,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2014-02-07,7,February,2014,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2016-02-07,7,February,2016,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2014-04-15,15,April,2014,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2016-04-15,15,April,2016,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2,1912,3400,1548,3824,5372
2014-06-20,20,June,2014,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2016-06-20,20,June,2016,42,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,774,1912,2686
2013-07-17,17,July,2013,38,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,870,1898,2768
2015-07-17,17,July,2015,38,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,870,1898,2768
2013-07-08,8,July,2013,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2015-07-08,8,July,2015,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2013-07-13,13,July,2013,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2015-07-13,13,July,2015,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2013-08-08,8,August,2013,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2015-08-08,8,August,2015,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2013-12-25,25,December,2013,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2015-12-25,25,December,2015,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2014-03-26,26,March,2014,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2016-03-26,26,March,2016,40,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",1,1266,2320,729,1266,1995
2013-09-17,17,September,2013,36,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,768,1898,2666
2015-09-17,17,September,2015,36,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,768,1898,2666
2013-09-24,24,September,2013,37,Adults (35-64),F,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,870,1898,2768
2015-09-24,24,September,2015,37,Adults (35-64),F,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,870,1898,2768
2012-05-11,11,May,2012,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1122,2504,3626
2011-05-11,11,May,2011,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",1,1252,2295,561,1252,1813
2012-05-25,25,May,2012,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1122,2504,3626
2011-05-25,25,May,2011,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,1252,2295,1683,3756,5439
2012-12-28,28,December,2012,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",2,1898,3375,1537,3796,5333
2011-12-28,28,December,2011,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2013-07-15,15,July,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2015-07-15,15,July,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2013-10-22,22,October,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2015-10-22,22,October,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2013-10-29,29,October,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2015-10-29,29,October,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2013-12-10,10,December,2013,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2015-12-10,10,December,2015,34,Young Adults (25-34),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 42",1,1898,3375,768,1898,2666
2013-10-29,29,October,2013,61,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2015-10-29,29,October,2015,61,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-100 Black, 44",1,1898,3375,1038,1898,2936
2012-10-26,26,October,2012,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",2,1252,2295,1122,2504,3626
2011-10-26,26,October,2011,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Black, 42",3,1252,2295,1683,3756,5439
2013-07-29,29,July,2013,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2015-07-29,29,July,2015,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",3,1912,3400,2322,5736,8058
2013-11-26,26,November,2013,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2015-11-26,26,November,2015,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2014-06-09,9,June,2014,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2016-06-09,9,June,2016,40,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",1,1912,3400,774,1912,2686
2013-07-13,13,July,2013,22,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,180,420,600
2015-07-13,13,July,2015,22,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,180,420,600
2013-07-16,16,July,2013,22,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,180,420,600
2015-07-16,16,July,2015,22,Youth (<25),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",1,420,769,180,420,600
2013-10-11,11,October,2013,17,Youth (<25),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,1020,1252,2272
2015-10-11,11,October,2015,17,Youth (<25),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,1020,1252,2272
2013-12-25,25,December,2013,51,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,876,1912,2788
2015-12-25,25,December,2015,51,Adults (35-64),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",1,1912,3400,876,1912,2788
2013-07-29,29,July,2013,18,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,538,1252,1790
2015-07-29,29,July,2015,18,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 38",1,1252,2295,538,1252,1790
2013-07-29,29,July,2013,18,Youth (<25),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,722,1252,1974
2015-07-29,29,July,2015,18,Youth (<25),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 46",2,1252,2295,1443,2504,3947
2013-10-31,31,October,2013,58,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,768,1898,2666
2015-10-31,31,October,2015,58,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 48",1,1898,3375,768,1898,2666
2013-07-13,13,July,2013,21,Youth (<25),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Black, 46",1,1252,2295,538,1252,1790
